D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
0.8,13.34,13.45,,0.9,500000000.0,6.343919095840001e-07,18.04272517321016,36.40776699029127,5.709476138233681
0.8,11.8,11.72,,0.9,460000000.0,1.2985389078449905e-06,19.363333591511115,38.81987577639752,5.661046638931465
0.8,11.42,11.27,,0.9,450000000.0,1.2912409306864197e-06,19.724384599200505,39.45810864132579,5.661687105165365
0.8,11.03,10.85,,0.9,440000000.0,1.4947446802685951e-06,20.097270790626634,40.14272970561998,5.63629506712928
0.8,10.65,10.4,,0.9,430000000.0,5.068769909356409e-07,20.49096348510307,40.82928820940889,5.626774069812045
0.8,10.28,9.97,,0.9,420000000.0,2.158764155328798e-06,20.885256401331088,41.53782249503854,5.6312040081415375
0.8,9.87,9.53,,0.9,410000000.0,7.074071762581795e-07,21.32196162046908,42.31311706629055,5.562016727157961
0.8,9.49,9.09,,0.9,400000000.0,2.525746518125e-06,21.764996082300705,43.08693986978169,5.533637674195099
0.8,12.18,12.13,,0.9,470000000.0,2.9948229651425985e-07,19.022979759549536,38.18899308354903,5.66688185926404
1.0,23.6,25.31,,0.9,770000000.0,6.413981167144544e-07,12.38338974655329,25.4539283896148,5.838670840356369
1.0,21.27,22.67,,0.9,710000000.0,3.740844551180322e-07,13.333333333333334,27.25125658572034,5.795378518861614
1.0,23.22,24.87,,0.9,760000000.0,4.395976094182825e-07,12.533422459893048,25.73560950501844,5.831954045370461
1.0,22.83,24.43,,0.9,750000000.0,4.352811328e-07,12.684989429175474,26.025852346664355,5.825089817412273
1.0,22.43,23.98,,0.9,740000000.0,5.0819638056975894e-08,12.844665182394246,26.32733655111891,5.811872327731928
1.0,22.05,23.53,,0.9,730000000.0,2.094795218615125e-07,13.002773925104025,26.620918125887364,5.810899209983395
1.0,21.65,23.1,,0.9,720000000.0,1.3442867753858022e-07,13.170603213627183,26.9396551724138,5.795171537484117
1.0,20.88,22.21,,0.9,700000000.0,5.534255873469388e-07,13.513513513513512,27.58197977321484,5.777107807464393
1.0,17.4,18.25,,0.9,610000000.0,4.345169570008062e-07,15.286312635666023,30.870549495781024,5.704069193707552
1.0,20.12,21.34,,0.9,680000000.0,4.082496237024221e-07,13.863216266173753,28.23795180722892,5.77829937053238
1.0,19.73,20.9,,0.9,670000000.0,7.316411753174426e-07,14.047574452144596,28.584132630375407,5.772845106934543
1.0,19.34,20.46,,0.9,660000000.0,4.778134410009182e-07,14.239605088285552,28.94262927707744,5.762295081967213
1.0,18.95,20.01,,0.9,650000000.0,1.4403193562130177e-07,14.442518775274408,29.314051201876097,5.742765628451513
1.0,18.57,19.57,,0.9,640000000.0,8.208180361572268e-08,14.642717688402968,29.68337730870712,5.739145031333931
1.0,18.18,19.14,,0.9,630000000.0,7.670691589821114e-07,14.844136566056408,30.0611242860483,5.740551583248213
1.0,17.79,18.69,,0.9,620000000.0,1.484999326222685e-07,15.064778547755347,30.46200710780166,5.718284010094059
1.0,23.99,25.75,,0.9,780000000.0,9.80288009533202e-08,12.24090093030847,25.180459963068657,5.840674253606971
1.0,20.51,21.77,,0.9,690000000.0,4.149362625498845e-07,13.683634373289545,27.89746133101888,5.784840818047649
1.0,24.38,26.18,,0.9,790000000.0,1.041500622720718e-07,12.09970154069533,24.90866821653936,5.846683000376931
1.0,32.15,35.02,,1.2,990000000.0,4.0076891012141626e-14,9.821896280775276,20.499738058902583,5.94076722764196
1.0,25.16,27.06,,0.9,810000000.0,1.3441501639873494e-07,11.824990145841545,24.38363587103766,5.858711701734959
1.0,17.03,17.81,,0.9,600000000.0,8.752721793467778e-07,15.50339524355834,31.26411227290096,5.718451186400662
1.0,31.37,34.14,,1.2,970000000.0,1.3981070492507172e-27,10.0106780565937,20.87004916056025,5.932592270263855
1.0,30.98,33.69,,1.2,960000000.0,1.1712915171006945e-15,10.107816711590296,21.06002106002106,5.928394667518162
1.0,30.59,33.25,,1.2,950000000.0,5.890866085872577e-28,10.206164523372117,21.253483209748264,5.924120987554875
1.0,30.2,32.81,,1.2,940000000.0,1.891703987109552e-19,10.307153164296022,21.451043950805605,5.919769143228743
1.0,29.81,32.37,,1.2,930000000.0,1.0709392800323736e-10,10.410160316468874,21.651791084273583,5.915336970343327
1.0,29.42,31.93,,1.2,920000000.0,2.3521847206994337e-14,10.515247108307044,21.856331050560986,5.910822224062267
1.0,29.04,31.48,,1.2,910000000.0,3.068276187537737e-12,10.622477161674103,22.06423142927188,5.906222575118058
1.0,28.65,31.04,,1.2,900000000.0,2.3401878371604943e-10,10.73191672032625,22.27667631989308,5.901535605804928
1.0,28.26,30.6,,1.2,890000000.0,6.641289385683625e-12,10.843634786380395,22.493252024392685,5.896758805741301
1.0,27.87,30.16,,0.9,880000000.0,7.452962112603307e-08,10.95610254911986,22.71293375394322,5.893763440860215
1.0,27.47,29.73,,0.9,870000000.0,3.1277302074250226e-07,11.073379595452533,22.94279596206791,5.886848161174069
1.0,27.1,29.26,,0.9,860000000.0,2.4255542888588424e-07,11.194029850746269,23.16602316602317,5.8813470139436985
1.0,26.71,28.83,,0.9,850000000.0,1.6758817565259516e-07,11.312217194570136,23.39850249584027,5.880111647689513
1.0,26.32,28.4,,0.9,840000000.0,1.265116057256236e-07,11.436413540713632,23.6394200462282,5.874351172364417
1.0,25.93,27.96,,0.9,830000000.0,1.455254608796632e-07,11.56336725254394,23.88408258585001,5.868474576271186
1.0,25.53,27.51,,0.9,820000000.0,1.5177469601427722e-07,11.694082794106183,24.137098720733768,5.859881332724784
