D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],x'_2/x'_1 [mrad/mrad],y'_2/y'_1 [mrad/mrad],x_2/x_1 [mm/mm],y_2/y_1 [mm/mm],x_2 of initial x angle [mm],y_2 of initial y angle [mm]
5.0,12.7998,34.1884,,2.0,600000000.0,1.297019113e-09,12.9,28.5,-0.9385,-0.10034,-1.06549,-9.96679,-3.3132e-05,-1.4117e-05
5.0,14.1437,42.4133,,2.0,650000000.0,2.8636171460000006e-09,11.2,27.3,-1.17201,-0.10408,-0.85322,-9.6097,-4.8761e-05,-2.2045e-05
5.0,15.1084,55.9681,,2.0,700000000.0,2.4008425424000003e-26,9.2,26.5,-1.612,-0.10574,-0.62033,-9.4574,-1.3748e-13,-7.1468e-14
5.0,16.6348,59.9937,,2.0,750000000.0,0.048760033736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,18.6125,59.9998,,2.0,800000000.0,0.2062902483489999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,20.2995,59.9987,,2.0,850000000.0,0.4385784562,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,21.7691,59.9976,,2.0,900000000.0,0.7180827701000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,23.1556,59.9985,,2.0,950000000.0,1.0250107178,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5.0,24.396,59.9765,,2.0,1000000000.0,1.3451308360999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.5002,4.8058,,2.0,200000000.0,9.887603536100002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.5001,4.8056,,2.0,250000000.0,0.891373361,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,2.5001,6.4252,,2.0,300000000.0,0.0003963706399999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,3.8657,9.8303,,2.0,350000000.0,1.2941146932401002e-15,27.7,27.4,-0.35362,-0.08935,-2.8278,-11.192,-5.8799e-10,-3.5969e-08
8.0,5.3389,13.4953,,2.0,400000000.0,2.4642611869e-08,23.9,27.7,-0.42417,-0.09383,-2.3579,-10.661,-0.00015271,-3.6363e-05
8.0,6.8329,17.5635,,2.0,450000000.0,1.2169698290000003e-23,20.7,28.0,-0.50686,-0.09842,-1.9729,-10.161,3.3202e-12,-1.0705e-12
8.0,8.3234,22.1552,,2.0,500000000.0,4.79182885e-10,18.1,28.2,-0.606,-0.10301,-1.6502,-9.7068,1.9218e-05,1.0481e-05
8.0,9.7839,27.4678,,2.0,550000000.0,1.185434721e-13,15.8,27.0,-0.72829,-0.10746,-1.3731,-9.30589,-1.6239e-07,3.036e-07
8.0,11.1767,33.8738,,2.0,600000000.0,1.6828124930000003e-09,13.8,25.9,-0.88686,-0.11152,-1.1276,-8.9682,-3.6653e-05,-1.8422e-05
8.0,12.4302,42.2503,,2.0,650000000.0,1.9093362125e-12,11.9,25.0,-1.11369,-0.11473,-0.89791,-8.7158,-5.8445e-07,1.2521e-06
8.0,13.2738,56.4714,,2.0,700000000.0,4.902253224999999e-13,9.7,24.4,-1.55728,-0.11552,-0.64215,-8.6568,-6.9e-07,-1.1885e-07
8.0,14.9662,59.994,,2.0,750000000.0,0.046260182261,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,16.5746,59.9963,,2.0,800000000.0,0.191563422821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,18.9083,59.998,,2.0,850000000.0,0.4039974772360001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,20.8406,59.9953,,2.0,900000000.0,0.6638604232,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,21.7625,59.9964,,2.0,950000000.0,0.94523833,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8.0,23.1109,59.9779,,2.0,1000000000.0,1.2456358601000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2.5002,4.8058,,2.0,200000000.0,6.53851658,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2.5001,4.8057,,2.0,250000000.0,0.3567632722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,2.9967,6.9152,,2.0,300000000.0,4.7285057234089996e-24,30.8,32.8,-0.30673,-0.07545,-3.2601,-13.254,2.173e-12,8.1097e-14
6.0,4.5298,10.2297,,2.0,350000000.0,2.7875065972500014e-23,26.3,33.3,-0.36985,-0.08013,-2.7038,-12.48,-5.2779e-12,-1.3725e-13
6.0,6.0962,13.8745,,2.0,400000000.0,2.7708399025e-08,22.7,33.7,-0.44315,-0.08506,-2.2568,-11.763,-0.00015228,-6.7225e-05
6.0,7.673,17.9168,,2.0,450000000.0,2.0875543741e-14,19.8,32.2,-0.52877,-0.08998,-1.8911,-11.113,-1.4331e-07,-1.8379e-08
6.0,9.2378,22.477,,2.0,500000000.0,1.223363689e-13,17.3,30.4,-0.63108,-0.0949,-1.5846,-10.537,1.346e-07,-3.2283e-07
6.0,10.7662,27.7503,,2.0,550000000.0,8.294262325000001e-09,15.1,28.9,-0.7569,-0.09966,-1.3212,-10.037,-8.1426e-05,-4.0793e-05
6.0,12.222,34.0968,,2.0,600000000.0,1.215124552e-09,13.2,27.6,-0.91923,-0.10399,-1.0879,-9.6171,-3.1526e-05,-1.4874e-05
6.0,13.5373,42.3669,,2.0,650000000.0,2.018041555361e-26,11.4,26.5,-1.15012,-0.10756,-0.86947,-9.2973,-1.4204e-13,-2.2481e-15
6.0,14.4649,56.1175,,2.0,700000000.0,1.861899796e-13,9.4,25.8,-1.59,-0.10896,-0.62893,-9.1775,-3.6764e-07,2.259e-07
6.0,15.6885,59.9976,,2.0,750000000.0,0.051188454484,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,18.3006,59.9959,,2.0,800000000.0,0.2017769925249999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,19.7606,59.9975,,2.0,850000000.0,0.4255052525,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,21.3678,59.9957,,2.0,900000000.0,0.697224593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,22.563,59.9966,,2.0,950000000.0,0.9964384205000004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
6.0,23.8725,59.9839,,2.0,1000000000.0,1.3096080036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,2.5001,4.8057,,2.0,200000000.0,1.5342490831999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,3.4486,4.8001,,2.0,250000000.0,0.00204331912101,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,5.2783,7.6129,,2.0,300000000.0,2.68331890996e-13,25.2,52.5,-0.37073,-0.05388,-2.6972,-18.55999,4.2636e-08,5.1625e-07
1.0,7.0627,10.889,,2.0,350000000.0,4.4684700829000005e-10,21.8,47.6,-0.44165,-0.05953,-2.2642,-16.8,-2.0859e-05,-3.4277e-06
1.0,8.8407,14.4853,,2.0,400000000.0,6.5029823620000016e-15,19.0,43.5,-0.52295,-0.06518,-1.9122,-15.343,-2.5899e-08,7.6369e-08
1.0,10.5982,18.4759,,2.0,450000000.0,1.159280981e-13,16.7,40.1,-0.61739,-0.07078,-1.6197,-14.128,-1.0634e-07,3.2345e-07
1.0,12.32,22.9753,,2.0,500000000.0,9.13886921e-19,14.8,37.2,-0.72934,-0.07627,-1.3711,-13.112,-3.6179e-10,8.8487e-10
1.0,13.987,28.1727,,2.0,550000000.0,3.299813140000001e-21,13.1,34.8,-0.86614,-0.08154,-1.1545,-12.265,4.5954e-11,-3.4468e-11
1.0,15.5682,34.4176,,2.0,600000000.0,2.9530683121e-18,11.5,32.7,-1.04186,-0.08644,-0.95979,-11.569,-6.9689e-10,1.5708e-09
1.0,17.0028,42.5053,,2.0,650000000.0,1.9163459016e-26,10.0,31.1,-1.2896,-0.09067,-0.77542,-11.029,1.1541e-13,7.6446e-14
1.0,18.0782,55.5288,,2.0,700000000.0,1.0159445530000001e-13,8.4,29.9,-1.74471,-0.09319,-0.57316,-10.731,-2.4488e-07,2.0403e-07
1.0,19.6702,59.9975,,2.0,750000000.0,0.054480262941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,21.3589,59.9943,,2.0,800000000.0,0.238532132401,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,22.8577,59.9955,,2.0,850000000.0,0.5061416445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,24.1315,59.9953,,2.0,900000000.0,0.8225917385,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,25.2616,59.9913,,2.0,950000000.0,1.1636606503999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1.0,26.2079,59.9883,,2.0,1000000000.0,1.5130716724000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.5001,4.8057,,2.0,200000000.0,2.9194521625000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,2.5001,4.8058,,2.0,250000000.0,0.009590573093,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,4.1715,7.4012,,2.0,300000000.0,4.5695797524000006e-12,27.7,46.1,-0.3382,-0.06207,-2.9566,-16.11199,-3.6132e-07,-2.1069e-06
3.0,5.8626,10.6917,,2.0,350000000.0,2.0179005129e-14,23.8,42.4,-0.40594,-0.06738,-2.46329,-14.841,7.773e-09,-1.4184e-07
3.0,7.564,14.3045,,2.0,400000000.0,4.5421403029000005e-20,20.6,39.2,-0.48392,-0.07278,-2.0663,-13.741,-9.5577e-11,-1.9049e-10
3.0,9.2576,18.3133,,2.0,450000000.0,3.767638705000001e-09,18.0,36.5,-0.5748,-0.07818,-1.7397,-12.794,-5.6849e-05,-2.3148e-05
3.0,10.9249,22.8311,,2.0,500000000.0,7.77213837e-10,15.8,34.2,-0.68256,-0.08345,-1.465,-11.982,2.5779e-05,1.0614e-05
3.0,12.5444,28.0523,,2.0,550000000.0,1.81103618e-13,13.9,32.2,-0.81454,-0.08854,-1.2277,-11.294,-1.3796e-07,4.0258e-07
3.0,14.0835,34.3304,,2.0,600000000.0,1.2385314500000003e-09,12.2,30.5,-0.9843,-0.09326,-1.0159,-10.724,-3.2515e-05,-1.3465e-05
3.0,15.4785,42.4749,,2.0,650000000.0,2.1638767636e-10,10.6,29.1,-1.22401,-0.09726,-0.81697,-10.283,-1.3386e-05,-6.0994e-06
3.0,16.5068,55.7152,,2.0,700000000.0,9.578569744e-21,8.9,28.1,-1.66871,-0.09939,-0.59928,-10.061,-7.28e-11,-6.5412e-11
3.0,18.1438,59.9973,,2.0,750000000.0,0.050862254329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,19.9145,59.9995,,2.0,800000000.0,0.2204838557689999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,21.5224,59.9965,,2.0,850000000.0,0.4690531745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,22.9266,59.995,,2.0,900000000.0,0.7659236501000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,24.1621,59.9942,,2.0,950000000.0,1.0891962289000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
3.0,25.2564,59.9813,,2.0,1000000000.0,1.4235122755999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.5001,4.8058,,2.0,200000000.0,3.92814089,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,2.5001,4.8058,,2.0,250000000.0,0.0615234978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,3.7255,7.2596,,2.0,300000000.0,5.680775965e-13,28.9,41.7,-0.32584,-0.06637,-3.0689,-15.067,1.5221e-07,7.3818e-07
4.0,5.3649,10.5583,,2.0,350000000.0,1.1029578625000002e-24,24.7,40.2,-0.39197,-0.0715,-2.5511,-13.987,-1.0194e-12,2.5255e-13
4.0,7.0228,14.181,,2.0,400000000.0,2.845605285e-21,21.4,37.4,-0.4683,-0.07674,-2.1353,-13.031,-4.7823e-11,-2.3634e-11
4.0,8.6793,18.1999,,2.0,450000000.0,4.337651272e-15,18.6,35.0,-0.55735,-0.082,-1.7942,-12.195,2.5666e-08,-6.0654e-08
4.0,10.3144,22.7309,,2.0,500000000.0,3.239429189e-09,16.3,32.8,-0.6632,-0.08717,-1.5078,-11.47,5.2175e-05,2.2742e-05
4.0,11.9054,27.9676,,2.0,550000000.0,1.1351222900000004e-15,14.3,31.0,-0.793,-0.09216,-1.26099,-10.851,2.8667e-08,1.7701e-08
4.0,13.4191,34.2652,,2.0,600000000.0,1.3498613434e-10,12.6,29.4,-0.96003,-0.09677,-1.0416,-10.335,7.0453e-06,-9.2385e-06
4.0,14.7897,42.4455,,2.0,650000000.0,2.204027456e-09,10.9,28.2,-1.19636,-0.10062,-0.83588,-9.9373,4.256e-05,1.9816e-05
4.0,15.7856,55.8434,,2.0,700000000.0,7.65963329e-08,9.1,27.3,-1.63857,-0.10235,-0.61024,-9.7516,-0.00015052,0.00023225
4.0,17.4229,59.9985,,2.0,750000000.0,0.049513715176,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,19.2557,59.9985,,2.0,800000000.0,0.212968629136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,20.8805,59.9983,,2.0,850000000.0,0.4530588292,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,22.3395,59.9982,,2.0,900000000.0,0.7409898506000001,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,23.6236,59.9989,,2.0,950000000.0,1.0558830977999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4.0,24.8234,59.9844,,2.0,1000000000.0,1.3830023584000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.5001,4.8058,,2.0,200000000.0,2.1189174409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,2.8834,4.8001,,2.0,250000000.0,0.00421190646961,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
2.0,4.6848,7.5196,,2.0,300000000.0,5.3493653700000016e-18,26.5,49.1,-0.353,-0.05791,-2.8328,-17.27,-1.0269e-09,-2.0724e-09
2.0,6.4249,10.8026,,2.0,350000000.0,1.4071215680000003e-09,22.8,44.9,-0.42237,-0.0634,-2.3676,-15.775,-3.5212e-05,-1.2932e-05
2.0,8.1669,14.4063,,2.0,400000000.0,8.987025226399999e-14,19.9,41.3,-0.502,-0.06893,-1.992,-14.509,2.9659e-07,-4.3642e-08
2.0,9.8945,18.4055,,2.0,450000000.0,3.730169050000001e-09,17.4,38.2,-0.59468,-0.07444,-1.6815,-13.436,-5.7145e-05,-2.1555e-05
2.0,11.5911,22.9125,,2.0,500000000.0,2.345795077000001e-09,15.3,35.6,-0.70444,-0.07981,-1.4195,-12.528,4.5426e-05,1.6801e-05
2.0,13.2363,28.1216,,2.0,550000000.0,3.225711505e-09,13.5,33.4,-0.83887,-0.08502,-1.192,-11.765,-5.2567e-05,-2.1504e-05
2.0,14.7981,34.3812,,2.0,600000000.0,1.7054198800000002e-09,11.9,31.6,-1.01146,-0.08982,-0.98865,-11.135,-3.8254e-05,-1.5558e-05
2.0,16.2147,42.4933,,2.0,650000000.0,2.9847396901000002e-12,10.3,30.0,-1.2549,-0.09393,-0.79684,-10.646,1.4623e-06,-9.2001e-07
2.0,17.269,55.6123,,2.0,700000000.0,2.77909316e-20,8.6,29.0,-1.704,-0.09627,-0.58686,-10.387,-1.0904e-10,-1.261e-10
2.0,18.9281,59.9994,,2.0,750000000.0,0.052515657684,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
