D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [eV/c],"f(x',y') [mrad^2]",x acceptance [mrad],y acceptance [mrad],beam ratio [-]
6.0,2.5001,4.8047,,3.0,200000000.0,17.774345620000002,0.0,0.0,0.0
6.0,2.5001,4.8047,,3.0,250000000.0,1.2501769768,34.5,32.2,0.58
6.0,3.1628,5.7302,,3.0,300000000.0,1.32875825e-23,32.1,32.8,0.83
6.0,4.7465,8.5098,,3.0,350000000.0,1.9096231730000002e-13,27.7,33.3,1.76
6.0,126.5389,137.3104,,3.0,400000000.0,810.42609204,0.0,0.0,0.0
6.0,129.2931,134.5498,,3.0,450000000.0,590.17749556,0.0,0.0,0.0
6.0,129.4793,134.3653,,3.0,500000000.0,448.66464196000015,0.0,0.0,0.0
6.0,11.4575,21.1877,,3.0,550000000.0,9.39739242325e-11,17.1,28.2,0.08
6.0,123.6504,140.2024,,3.0,600000000.0,284.49888121,0.0,0.0,0.0
6.0,14.8829,28.6999,,3.0,650000000.0,4.879463545000001e-13,13.9,25.4,2.25
6.0,16.5852,32.8592,,3.0,700000000.0,1.3649346290000002e-11,12.7,24.2,0.68
6.0,18.2707,37.3582,,3.0,750000000.0,5.643433465e-11,11.6,23.1,0.4
6.0,19.9303,42.2767,,3.0,800000000.0,1.4862625940000003e-25,10.6,22.2,1.96
6.0,21.5532,47.7287,,3.0,850000000.0,5.641278473000001e-13,9.7,21.3,0.41
6.0,23.1242,53.8902,,3.0,900000000.0,2.127565082e-09,8.8,20.5,2.36
6.0,24.6203,61.0673,,3.0,950000000.0,4.771933479999999e-20,8.1,19.8,0.87
6.0,25.9998,69.8513,,3.0,1000000000.0,6.36200324e-10,7.3,19.2,1.94
7.0,2.5002,4.8047,,3.0,200000000.0,21.90067849,0.0,0.0,0.0
7.0,2.5001,4.8048,,3.0,250000000.0,1.9239282404,35.4,28.9,0.49
7.0,2.8704,5.5254,,3.0,300000000.0,3.4605688024999996e-14,33.1,29.5,4.09
