Unnamed: 0,D1 [m],D2 [m],D3 [m],Pz [eV],F_ana [mrad],F_num [mrad],Delta D2 [mm],Delta D3 [mm],setup length [m],Angle accept. x [mrad],Angle accept. y [mrad],beam size x [mm],beam size y [mm],number of func. evaluations [-]
setup 13,0.09,0.200803,0.208711,750000000.0,0.0015448554222177,0.0016411442403938,0.2580679983738287,0.1982882385770379,0.7554542202402031,0.1,0.1,0.095404,0.027182,364.0
setup 15,0.01,0.273796,0.238321,800000000.0,0.002962331748624,0.0020310532786897,0.0387219154441842,0.2148163451376472,0.7778634617394181,0.1,0.1,0.12217,0.023928,498.0
setup 16,0.02,0.265654,0.237776,800000000.0,0.0005461258492554,0.0013960155936293,0.1715070980280453,0.1092023564580324,0.7791492905455139,0.1,0.1,0.11938,0.023494,313.0
setup 8,0.1,0.215179,0.227774,800000000.0,0.0026800468512695,0.0012624642423772,0.1596565903073943,0.2152865531333536,0.7985780568565592,0.1,0.1,0.10039,0.030076,318.0
setup 7,0.09,0.220303,0.229547,800000000.0,0.0024920688092739,0.0005631524760722,0.2896183877296177,0.2146813395785818,0.7963542997273082,0.1,0.1,0.10226,0.028737,304.0
setup 6,0.08,0.225723,0.231178,800000000.0,0.0005572103597385,0.0020281807422617,0.068007418354471,0.651926349844123,0.7936209337681985,0.1,0.1,0.10368,0.028195,242.0
setup 5,0.07,0.231457,0.232661,800000000.0,0.0044245997647386,0.0019152234438832,0.6077227564708909,0.0442138458519314,0.790681508910619,0.1,0.1,0.10658,0.026956,368.0
setup 4,0.06,0.237527,0.233995,800000000.0,0.0019336332138296,0.0245247706016284,0.2113277999032381,4.825719905432263,0.7824849522946644,0.1,0.1,0.11522,0.029097,238.0
setup 3,0.05,0.243955,0.235176,800000000.0,0.0020549253789675,0.00133381378034,0.0816794070938042,0.3941243689582208,0.7848185550381356,0.1,0.1,0.11134,0.025955,245.0
setup 2,0.04,0.250766,0.236201,800000000.0,0.0009297817644647,0.0113614778981983,0.0265385337289703,2.4859030572091934,0.7854794415909382,0.1,0.1,0.11031,0.024658,252.0
setup 1,0.03,0.257989,0.237069,800000000.0,0.0018133643129294,0.0090000783824711,0.5563738238476557,1.7671483475820149,0.7833815221714296,0.1,0.1,0.11413,0.02319,233.0
setup 1,0.09,0.239947,0.250369,850000000.0,0.0022364898882417,0.0031225657536412,1.030792168603745,0.710472277059282,0.8366363198915444,0.1,0.1,0.10939,0.029208,309.0
setup 10,0.02,0.28641,0.258247,850000000.0,0.0019349168307367,0.0225641828832845,3.253223517543036,5.625488628724029,0.818284734888819,0.1,0.1,0.13241,0.022977,256.0
setup 16,0.08,0.245556,0.251933,850000000.0,0.0016633150082317,0.0018194910220655,0.2985962736557768,0.1468708145391795,0.833934467088195,0.1,0.1,0.11048,0.029396,440.0
setup 15,0.07,0.251473,0.253355,850000000.0,0.0032775212044584,0.0018547655127072,0.1066683724492145,0.4372131540620882,0.8313718815265113,0.1,0.1,0.11297,0.028036,371.0
setup 2,0.1,0.234626,0.248667,850000000.0,0.0028021097771718,0.0048192930406611,0.1893465562731455,0.8205751407101003,0.8399242285844369,0.1,0.1,0.10573,0.031538,239.0
setup 14,0.06,0.257716,0.254632,850000000.0,0.0015642084382206,0.0007991997704451,0.0577197526691608,0.3078126850589169,0.828713532437728,0.1,0.1,0.11541,0.028147,323.0
setup 13,0.05,0.264307,0.255762,850000000.0,0.0034996202522608,0.0079036881100733,0.262888085720725,2.345896678449033,0.8239859914072717,0.1,0.1,0.12004,0.027105,296.0
setup 12,0.04,0.271269,0.256743,850000000.0,0.0022379293109547,0.0005694336908527,0.274230262569286,0.5013402995521776,0.8232364294378786,0.1,0.1,0.12028,0.026684,561.0
setup 11,0.03,0.278627,0.257572,850000000.0,0.0025933093365194,0.043170370718335,4.654572991123818,10.357843063903305,0.8164957299272205,0.1,0.1,0.13542,0.023364,441.0
setup 9,0.01,0.294649,0.258768,850000000.0,0.0036577011272563,0.0089285924796588,2.05424174187141,1.8895985895990288,0.8195816431522723,0.1,0.1,0.13146,0.0226,355.0
setup 9,0.07,0.271582,0.274043,900000000.0,0.0032073995870659,0.0031723208176154,0.948341081193904,0.1215927645440984,0.8724517483166497,0.1,0.1,0.12031,0.028882,412.0
setup 10,0.08,0.265498,0.272679,900000000.0,0.0019894731072743,0.0435072851143885,7.094357760547565,10.390508965369529,0.870880848795178,0.1,0.1,0.12876,0.023904,331.0
setup 11,0.09,0.259713,0.271178,900000000.0,0.002088336610473,0.0020760378292897,0.4549838463492883,0.8727725126900787,0.8764732113336592,0.1,0.1,0.11621,0.031545,330.0
setup 12,0.1,0.254212,0.269542,900000000.0,0.004067883680979,0.0009717682914901,0.2418176610534672,0.1013246714146043,0.8796135070103611,0.1,0.1,0.114,0.032055,290.0
setup 6,0.04,0.291823,0.27729,900000000.0,0.0008217352137315,0.00164357790536,0.6643243938665444,0.1078573161242824,0.8658851817099907,0.1,0.1,0.12755,0.027208,666.0
setup 5,0.03,0.299304,0.278084,900000000.0,0.0018757599600306,0.0009938775631303,0.2356859963851265,0.6352382454906658,0.8637875522491055,0.1,0.1,0.13009,0.026846,190.0
setup 4,0.02,0.307193,0.278731,900000000.0,0.0031910050315082,0.0361256012808262,8.010660809413094,4.653792643874777,0.8585671318344616,0.1,0.1,0.1273,0.036723,322.0
setup 7,0.05,0.284724,0.276351,900000000.0,0.0017234828432888,0.0006051113278858,0.3080296100942403,0.2653514252904942,0.8676483810353847,0.1,0.1,0.12488,0.028225,710.0
setup 8,0.06,0.277985,0.275268,900000000.0,0.0030859059637785,0.0271147751622388,5.304022397769781,1.0639561470759396,0.8756209785448457,0.1,0.1,0.121,0.020662,371.0
setup 3,0.01,0.31552,0.279229,900000000.0,0.0016639948732708,0.0702557498459717,16.035846643454864,9.642564031136946,0.854355717387682,0.1,0.1,0.12425,0.045537,313.0
setup 6,0.1,0.273918,0.290399,950000000.0,0.0025754409568267,0.0395534674815897,4.4609689870057645,11.399624843244917,0.9133783441437608,0.1,0.1,0.13101,0.031558,363.0
setup 16,0.04,0.312421,0.297843,950000000.0,0.0022441878818103,0.0604744379341055,13.876626256676294,0.8889248203076128,0.8932762985636313,0.1,0.1,0.13276,0.048455,184.0
setup 5,0.09,0.279588,0.291972,950000000.0,0.0007923673488429,0.0351617048045816,3.6935730828258073,10.628460122866668,0.9106251129599592,0.1,0.1,0.13186,0.031855,291.0
setup 15,0.03,0.320014,0.298605,950000000.0,0.0020110322014417,0.092243203758632,21.075254903997475,0.5438559610429494,0.8840876010570454,0.1,0.1,0.13583,0.057944,320.0
setup 14,0.02,0.328001,0.299224,950000000.0,0.0006283821401158,0.1317070090113456,29.85247426252513,1.8161293683174875,0.8715563963691574,0.1,0.1,0.1415,0.069745,310.0
