D1 [cm],D2 [cm],D3 [cm],D4 [cm],setup length [m],Pz [MeV/c],"f(x',y') [mrad^2]",studied variable,Astra key,xAngle xOffset slope[mm],xAngle yOffset slope [mm],yAngle xOffset slope [mm],yAngle yOffset slope [mm]
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q2OffsetX,Q_xoff(2),-2.567,0.0,-2.567,0.001
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q2OffsetY,Q_yoff(2),0.001,20.056,0.0,20.059
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q2OffsetZ,Q_pos(2),0.001,0.0,0.0,0.0
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q2RotX,Q_xrot(2),-0.017,0.0,-0.017,0.001
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q2RotY,Q_yrot(2),0.0,0.044,0.0,0.044
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q2RotZ,Q_zrot(2),0.001,0.044,0.009,0.0
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q3OffsetX,Q_xoff(3),4.331,0.0,4.331,0.001
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q3OffsetY,Q_yoff(3),0.001,-4.849,0.0,-4.851
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q3OffsetZ,Q_pos(3),0.0,0.0,0.0,0.0
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q3RotX,Q_xrot(3),0.004,0.0,0.004,0.0
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q3RotY,Q_yrot(3),0.001,0.011,0.0,0.011
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q3RotZ,Q_zrot(3),0.0,-0.037,-0.007,0.001
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q1Gradient,Q_grad(1),-0.002,0.0,0.0,0.015
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q2Gradient,Q_grad(2),-0.03,0.0,0.0,0.342
10.0,7.542,21.774,,2.0,500,5.198575588e-25,Q3Gradient,Q_grad(3),-0.295,0.0,0.0,0.071
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,sourceOffsetX,x_off,-1.416,0.0,-1.416,0.001
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,sourceOffsetY,y_off,0.001,-8.649,0.0,-8.646
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q1OffsetX,Q_xoff(1),0.714,0.0,0.714,0.001
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q1OffsetY,Q_yoff(1),0.001,-4.582,0.0,-4.585
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q1OffsetZ,Q_pos(1),-0.005,0.0,0.0,0.058
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q1RotX,Q_xrot(1),0.001,0.0,0.001,0.0
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q1RotY,Q_yrot(1),0.001,-0.005,0.0,-0.005
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q1RotZ,Q_zrot(1),0.0,-0.005,0.0,0.001
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q2OffsetX,Q_xoff(2),-2.063,0.0,-2.063,0.001
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q2OffsetY,Q_yoff(2),0.001,18.406,0.0,18.409
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q2OffsetZ,Q_pos(2),0.001,0.0,0.0,0.0
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q2RotX,Q_xrot(2),-0.013,0.0,-0.013,0.001
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q2RotY,Q_yrot(2),0.0,0.038,0.0,0.038
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q2RotZ,Q_zrot(2),0.001,0.043,0.007,0.0
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q3OffsetX,Q_xoff(3),3.767,0.0,3.767,0.001
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q3OffsetY,Q_yoff(3),0.001,-4.174,0.0,-4.176
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q3OffsetZ,Q_pos(3),0.0,0.0,0.0,0.0
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q3RotX,Q_xrot(3),0.003,0.0,0.003,0.0
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q3RotY,Q_yrot(3),0.001,0.009,0.0,0.009
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q3RotZ,Q_zrot(3),0.0,-0.037,-0.006,0.001
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q1Gradient,Q_grad(1),-0.001,0.0,0.0,0.013
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q2Gradient,Q_grad(2),-0.026,0.0,0.0,0.328
10.0,8.933,27.13,,2.0,550,6.830469200000002e-26,Q3Gradient,Q_grad(3),-0.295,0.0,0.0,0.06
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,sourceOffsetX,x_off,-1.16,0.0,-1.161,0.001
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,sourceOffsetY,y_off,0.001,-8.38,0.0,-8.378
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q1OffsetX,Q_xoff(1),0.537,0.0,0.538,0.001
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q1OffsetY,Q_yoff(1),0.001,-4.061,0.0,-4.064
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q1OffsetZ,Q_pos(1),-0.004,0.0,0.0,0.051
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q1RotX,Q_xrot(1),0.001,0.0,0.001,0.0
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q1RotY,Q_yrot(1),0.001,-0.004,0.0,-0.004
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q1RotZ,Q_zrot(1),0.0,-0.004,0.0,0.001
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q2OffsetX,Q_xoff(2),-1.641,0.0,-1.641,0.001
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q2OffsetY,Q_yoff(2),0.001,17.029,0.0,17.033
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q2OffsetZ,Q_pos(2),0.001,0.0,0.0,0.0
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q2RotX,Q_xrot(2),-0.01,0.0,-0.01,0.001
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q2RotY,Q_yrot(2),0.0,0.034,0.0,0.034
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q2RotZ,Q_zrot(2),0.001,0.042,0.006,0.0
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q3OffsetX,Q_xoff(3),3.265,0.0,3.265,0.001
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q3OffsetY,Q_yoff(3),0.001,-3.586,0.0,-3.588
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q3OffsetZ,Q_pos(3),0.0,0.0,0.0,0.0
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q3RotX,Q_xrot(3),0.002,0.0,0.002,0.0
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q3RotY,Q_yrot(3),0.001,0.008,0.0,0.008
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q3RotZ,Q_zrot(3),0.0,-0.036,-0.005,0.001
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q1Gradient,Q_grad(1),-0.001,0.0,0.0,0.012
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q2Gradient,Q_grad(2),-0.021,0.0,0.0,0.316
10.0,10.259,33.599,,2.0,600,2.0057906504e-24,Q3Gradient,Q_grad(3),-0.295,0.0,0.0,0.05
10.0,11.446,42.098,,2.0,650,1.566957706e-23,sourceOffsetX,x_off,-0.921,0.0,-0.921,0.001
10.0,11.446,42.098,,2.0,650,1.566957706e-23,sourceOffsetY,y_off,0.001,-8.186,0.0,-8.185
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q1OffsetX,Q_xoff(1),0.394,0.0,0.395,0.001
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q1OffsetY,Q_yoff(1),0.001,-3.655,0.0,-3.658
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q1OffsetZ,Q_pos(1),-0.003,0.0,0.0,0.045
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q1RotX,Q_xrot(1),0.001,0.0,0.001,0.0
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q1RotY,Q_yrot(1),0.001,-0.004,0.0,-0.004
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q1RotZ,Q_zrot(1),0.0,-0.004,0.0,0.001
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q2OffsetX,Q_xoff(2),-1.263,0.0,-1.264,0.001
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q2OffsetY,Q_yoff(2),0.001,15.885,0.0,15.89
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q2OffsetZ,Q_pos(2),0.001,0.0,0.0,0.0
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q2RotX,Q_xrot(2),-0.007,0.0,-0.007,0.001
10.0,11.446,42.098,,2.0,650,1.566957706e-23,Q2RotY,Q_yrot(2),0.0,0.031,0.0,0.031
